scrutin_ref,senateur_ref,position
senat-2020-2,19543W,pour
senat-2020-2,20024T,pour
senat-2020-2,20022R,pour
senat-2020-2,19954N,pour
senat-2020-2,19575F,pour
senat-2020-2,20116W,pour
senat-2020-2,14030Q,pour
senat-2020-2,96004D,pour
senat-2020-2,17367Q,pour
senat-2020-2,20086J,pour
senat-2020-2,19367Y,pour
senat-2020-2,14069U,pour
senat-2020-2,19415P,pour
senat-2020-2,20042V,pour
senat-2020-2,14089Y,pour
senat-2020-2,20078J,pour
senat-2020-2,20138D,pour
senat-2020-2,19966S,pour
senat-2020-2,14105F,pour
senat-2020-2,19643A,pour
senat-2020-2,19747H,pour
senat-2020-2,20152B,pour
senat-2020-2,19383Y,pour
senat-2020-2,17737W,pour
senat-2020-2,19621T,pour
senat-2020-2,04047H,pour
senat-2020-2,20090E,pour
senat-2020-2,14207L,pour
senat-2020-2,20104S,pour
senat-2020-2,14255U,pour
senat-2020-2,11101A,pour
senat-2020-2,04042C,pour
senat-2020-2,14053L,pour
senat-2020-2,14083S,pour
senat-2020-2,11053K,pour
senat-2020-2,19545Y,pour
senat-2020-2,11103C,pour
senat-2020-2,19629C,pour
senat-2020-2,19721W,pour
senat-2020-2,14329V,pour
senat-2020-2,14038Y,pour
senat-2020-2,11080N,pour
senat-2020-2,14195A,pour
senat-2020-2,08028W,pour
senat-2020-2,20144B,pour
senat-2020-2,19467C,pour
senat-2020-2,18083K,pour
senat-2020-2,19701S,pour
senat-2020-2,14267Y,pour
senat-2020-2,19681G,pour
senat-2020-2,11115U,pour
senat-2020-2,14357A,pour
senat-2020-2,04086Q,pour
senat-2020-2,19693L,pour
senat-2020-2,14259Y,pour
senat-2020-2,04008A,pour
senat-2020-2,17589D,pour
senat-2020-2,98018T,pour
senat-2020-2,11070L,pour
senat-2020-2,19719D,pour
senat-2020-2,14327T,pour
senat-2020-2,19663E,pour
senat-2020-2,20140W,pour
senat-2020-2,17229F,pour
senat-2020-2,10006L,pour
senat-2020-2,14041T,pour
senat-2020-2,14217N,pour
senat-2020-2,01024M,pour
senat-2020-2,14215L,pour
senat-2020-2,19577H,pour
senat-2020-2,14042U,pour
senat-2020-2,04071H,pour
senat-2020-2,20124W,pour
senat-2020-2,20040T,pour
senat-2020-2,07033P,pour
senat-2020-2,20074E,pour
senat-2020-2,19507S,pour
senat-2020-2,14187A,pour
senat-2020-2,19673G,pour
senat-2020-2,20038A,pour
senat-2020-2,01025N,pour
senat-2020-2,20132W,pour
senat-2020-2,17023S,pour
senat-2020-2,97011G,pour
senat-2020-2,19521Q,pour
senat-2020-2,08018U,pour
senat-2020-2,11010L,pour
senat-2020-2,04035D,pour
senat-2020-2,14231L,pour
senat-2020-2,20120S,pour
senat-2020-2,14355X,pour
senat-2020-2,19387D,pour
senat-2020-2,07004J,pour
senat-2020-2,08056B,pour
senat-2020-2,14211G,pour
senat-2020-2,14033T,pour
senat-2020-2,14123H,pour
senat-2020-2,14026U,pour
senat-2020-2,01057W,pour
senat-2020-2,20068G,pour
